source_node,target_node,task_target,data_pool_id,data_pool_name,data_model_id,data_model_name
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CURRENCY_CONVERSION_RATES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.currency_conversion_rates.tfact,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_currency_conversion_rates,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.currency_conversion_rates.tcurr_key,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CURRENCY_CONVERSION_RATES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.currency_conversion_rates.tcurr_key,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_currency_conversion_rates,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.currency_conversion_rates.tcurr_rownr,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CURRENCY_CONVERSION_RATES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.currency_conversion_rates.tcurr_rownr,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_currency_conversion_rates,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.currency_conversion_rates.from_date,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CURRENCY_CONVERSION_RATES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.currency_conversion_rates.from_date,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_currency_conversion_rates,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.currency_conversion_rates.to_date,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
DATA_MODEL_TABLE_0cca1931-70ef-49b4-a097-332895c99c21_1c1e8492-6555-48a8-95b3-a9038659131f_CURRENCY_CONVERSION_RATES,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.currency_conversion_rates.to_date,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
0cca1931-70ef-49b4-a097-332895c99c21_cm_s066,6dc41ceb-3d03-4f90-9500-4d6a1db05f67.cm_s066.mandt,DATA_MODEL_COLUMN,0cca1931-70ef-49b4-a097-332895c99c21,SAP ECC - Order to Cash (OM + AR),1c1e8492-6555-48a8-95b3-a9038659131f,SAP ECC - Order to Cash Data Model
